No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,PEG,P/S,P/B,Price,Volume,EPS (ttm),EPS growth next year,EPS growth next 5 years,Total Debt/Equity,Beta,Institutional Ownership,RSI
441,QZ,QZ Corp.,Financial,Life Insurance,USA,1675156.57,8.71,2.76,2.16,,17.09,"18,879",-2.93,-13.28%,2.61%,0.70,1.38,79.44%,45.60
442,RA,RA Corp.,Financial,Closed-End Fund - Debt,USA,30693391.71,18.24,3.32,3.68,5.88,34.96,"65,092",7.30,13.89%,30.33%,0.80,1.53,12.56%,54.44
443,RB,RB Holdings Inc.,Financial,Asset Management,USA,368449.32,10.06,1.88,3.49,4.13,7.34,"72,038",4.31,6.12%,11.26%,0.45,1.55,53.03%,38.76
444,RC,RC Holdings Inc.,Financial,Money Center Banks,USA,3066210.49,19.20,1.35,1.53,3.15,76.69,"12,636",1.46,1.52%,13.44%,0.82,1.68,61.00%,79.92
445,RD,RD Holdings Inc.,Financial,Property & Casualty Insurance,USA,8412174.70,26.56,1.48,1.64,1.13,46.62,"324,894",7.42,-0.42%,22.85%,0.97,0.95,33.39%,42.68
446,RE,RE Holdings Inc.,Financial,REIT - Office,USA,1670255.26,20.95,4.73,1.14,0.74,16.47,"36,795",-0.83,-13.42%,26.91%,1.48,0.15,33.16%,69.84
447,RF,RF Holdings Inc.,Financial,Investment Brokerage,USA,965066.56,8.61,1.34,4.79,1.48,16.39,"33,963",2.85,18.81%,5.23%,0.85,1.34,81.36%,46.24
448,RG,RG Corp.,Financial,Regional - Mid-Atlantic Banks,USA,2358127.50,9.67,2.01,1.56,1.60,17.52,"218,538",2.62,6.14%,22.95%,0.22,1.29,12.04%,55.45
449,RH,RH Holdings Inc.,Financial,Life Insurance,USA,5368391.07,11.97,1.02,1.65,3.28,37.62,"43,946",2.86,12.94%,2.16%,0.22,0.86,27.18%,41.77
450,RI,RI Corp.,Financial,Closed-End Fund - Debt,USA,21676243.21,7.63,,3.37,1.46,88.23,"40,358",1.61,-18.96%,29.66%,0.41,1.72,72.31%,35.46
451,RJ,RJ Holdings Inc.,Financial,Asset Management,USA,1502753.59,18.58,2.33,3.47,1.76,26.86,"40,468",-1.89,35.18%,11.02%,0.62,0.62,55.78%,48.04
452,RK,RK Holdings Inc.,Financial,Money Center Banks,USA,1000120.35,27.74,2.99,3.20,0.76,28.46,"38,200",3.10,22.45%,31.16%,0.28,1.54,53.69%,51.02
453,RL,RL Holdings Inc.,Financial,Property & Casualty Insurance,USA,5111637.70,17.60,9.22,3.37,3.82,27.14,"233,001",-0.08,16.02%,15.75%,0.28,0.48,45.21%,52.92
454,RM,RM Corp.,Financial,REIT - Office,USA,4327106.57,22.38,,2.77,3.91,19.76,"42,063",4.35,3.35%,13.57%,0.77,0.60,27.25%,43.92
455,RN,RN Corp.,Financial,Investment Brokerage,USA,1033083.07,47.88,0.67,1.09,4.98,110.56,"19,081",3.77,7.57%,22.80%,0.37,0.83,38.85%,75.00
456,RO,RO Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,USA,3313050.63,14.78,2.24,1.26,7.47,37.71,"199,053",1.70,7.56%,11.87%,0.90,1.34,33.49%,49.13
457,RP,RP Corp.,Financial,Life Insurance,USA,3068791.19,19.63,1.13,2.39,1.89,11.56,"150,720",-1.15,-4.51%,9.62%,0.43,0.82,19.58%,64.36
458,RQ,RQ Corp.,Financial,Closed-End Fund - Debt,USA,7817660.93,35.48,1.83,1.11,1.61,73.96,"6,238",5.16,-3.62%,6.90%,0.35,1.74,15.73%,67.58
459,RR,RR Holdings Inc.,Financial,Asset Management,USA,2215820.15,22.98,,3.42,3.36,18.33,"206,981",0.44,13.30%,8.17%,1.19,0.46,38.45%,50.27
460,RS,RS Corp.,Financial,Money Center Banks,USA,98309885.64,,2.10,3.20,1.07,84.84,"106,975",6.99,-18.04%,2.47%,0.51,1.24,61.43%,24.52
461,RT,RT Holdings Inc.,Financial,Property & Casualty Insurance,USA,1604287.29,39.07,2.01,4.93,3.37,41.60,"77,750",-1.57,5.04%,0.96%,0.39,0.71,75.72%,71.29
462,RU,RU Corp.,Financial,REIT - Office,USA,2892098.22,60.79,3.26,2.02,3.85,33.41,"55,217",-5.25,-6.28%,20.77%,0.46,1.14,12.58%,72.62
463,RV,RV Corp.,Financial,Investment Brokerage,USA,11719882.28,65.46,0.64,2.85,1.66,82.25,"6,546",1.13,13.21%,16.29%,0.27,1.83,18.03%,43.26
464,RW,RW Corp.,Financial,Regional - Mid-Atlantic Banks,USA,1933787.97,33.84,1.28,5.90,2.21,37.51,"46,913",3.55,9.01%,16.11%,0.47,0.86,78.43%,38.75
465,RX,RX Holdings Inc.,Financial,Life Insurance,USA,5264895.12,47.27,2.17,4.66,,58.32,"26,805",3.20,1.79%,-7.21%,0.25,1.03,32.86%,49.43
466,RY,RY Corp.,Financial,Closed-End Fund - Debt,USA,13215918.52,9.47,2.12,4.92,0.86,17.34,"3,372",5.21,3.64%,23.78%,1.22,1.10,33.99%,44.29
467,RZ,RZ Corp.,Financial,Asset Management,USA,13786426.60,17.85,2.05,11.96,8.70,43.83,"297,502",-2.10,27.12%,7.53%,0.39,0.68,11.01%,26.44
468,SA,SA Holdings Inc.,Financial,Money Center Banks,USA,1387915.83,13.68,6.12,8.95,2.25,13.86,"53,983",2.18,-11.69%,9.16%,1.57,0.78,25.53%,31.53
469,SB,SB Corp.,Financial,Property & Casualty Insurance,USA,42516172.26,21.65,1.51,3.61,2.16,55.37,"31,932",1.70,27.90%,11.84%,0.17,1.44,40.75%,45.14
470,SC,SC Corp.,Financial,REIT - Office,USA,579968.80,17.83,0.99,5.17,6.17,34.90,"70,118",0.29,-15.35%,2.76%,0.94,1.39,32.66%,54.29
471,SD,SD Corp.,Financial,Investment Brokerage,USA,11502854.29,88.48,1.57,1.87,1.43,32.52,"16,887",1.61,14.25%,16.46%,0.55,1.29,39.14%,70.83
472,SE,SE Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,USA,1229995.90,18.34,1.73,3.01,1.02,14.50,"12,133",3.63,14.36%,-3.51%,0.51,1.21,60.27%,35.83
473,SF,SF Corp.,Financial,Life Insurance,USA,101918177.34,27.69,1.34,4.20,3.12,178.42,"38,531",4.23,17.11%,8.70%,0.24,0.74,54.32%,44.43
474,SG,SG Holdings Inc.,Financial,Closed-End Fund - Debt,USA,30615523.52,16.75,,0.88,3.28,67.88,"67,230",1.60,3.86%,16.98%,0.56,2.29,1.71%,59.93
475,SH,SH Corp.,Financial,Asset Management,USA,3879789.49,34.86,2.25,1.60,4.82,16.26,"68,042",3.02,31.47%,-7.21%,0.36,1.42,27.26%,57.20
476,SI,SI Corp.,Financial,Money Center Banks,USA,2860615.71,11.48,1.64,,0.88,34.85,"98,011",4.38,-14.24%,14.39%,0.54,1.33,26.40%,62.58
477,SJ,SJ Holdings Inc.,Financial,Property & Casualty Insurance,USA,2774229.72,23.43,1.80,,4.93,30.00,"38,658",-0.18,1.57%,8.06%,0.19,0.29,37.09%,65.76
478,SK,SK Corp.,Financial,REIT - Office,Canada,12668813.41,39.29,0.89,4.47,5.31,192.81,"162,287",-1.25,2.40%,15.55%,0.58,0.98,49.65%,60.28
479,SL,SL Holdings Inc.,Financial,Investment Brokerage,Canada,2372256.74,29.87,,3.36,3.26,16.64,"114,271",2.77,7.58%,13.54%,0.60,1.22,18.72%,53.14
480,SM,SM Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,Canada,52175214.77,10.41,,,2.07,157.54,"245,374",2.25,0.82%,4.30%,0.40,1.12,28.46%,38.60
481,SN,SN Holdings Inc.,Financial,Life Insurance,Canada,7507108.03,17.24,1.53,6.80,4.44,35.15,"182,799",5.51,-9.62%,17.00%,2.80,1.53,42.13%,58.07
482,SO,SO Corp.,Financial,Closed-End Fund - Debt,Canada,2837804.35,16.36,1.94,1.39,,101.96,"120,574",2.55,-23.39%,19.16%,0.62,1.17,22.85%,60.80
483,SP,SP Holdings Inc.,Financial,Asset Management,Canada,4734879.23,16.10,5.31,9.06,7.89,124.04,"126,580",1.77,26.21%,19.55%,0.64,0.65,28.85%,55.24
484,SQ,SQ Corp.,Financial,Money Center Banks,Canada,1974672.93,27.81,1.23,1.10,1.53,61.90,"209,456",-1.68,32.86%,13.39%,0.90,0.64,19.41%,67.58
485,SR,SR Holdings Inc.,Financial,Property & Casualty Insurance,Canada,2961708.36,29.38,2.08,0.95,1.86,30.07,"28,285",6.99,10.68%,17.28%,0.19,1.59,45.20%,45.60
486,SS,SS Holdings Inc.,Financial,REIT - Office,UK,7675426.25,23.38,1.10,4.48,3.99,24.28,"831,655",5.08,9.51%,-6.18%,0.64,1.34,61.17%,53.55
487,ST,ST Corp.,Financial,Investment Brokerage,UK,7864183.89,25.18,1.54,0.67,2.27,71.15,"86,937",4.01,0.42%,-11.75%,0.39,0.91,48.04%,53.93
488,SU,SU Corp.,Financial,Regional - Mid-Atlantic Banks,UK,2925452.02,23.56,2.12,3.27,2.85,31.29,"2,974,493",6.35,0.45%,1.95%,0.18,0.97,47.94%,46.60
489,SV,SV Corp.,Financial,Life Insurance,UK,33632691.64,17.26,0.92,4.39,3.23,32.40,"214,930",3.55,-6.56%,30.34%,0.22,1.17,63.98%,57.22
490,SW,SW Holdings Inc.,Financial,Closed-End Fund - Debt,UK,56582612.95,11.76,0.85,1.77,2.48,27.34,"155,918",2.65,11.89%,-7.88%,0.54,1.20,24.32%,50.56
491,SX,SX Holdings Inc.,Financial,Asset Management,China,136883.67,15.21,1.90,1.81,2.60,32.18,"141,767",10.41,1.22%,17.69%,0.18,0.92,34.04%,49.62
492,SY,SY Holdings Inc.,Financial,Money Center Banks,China,998416.08,,2.65,2.47,3.56,43.04,"39,031",0.16,1.95%,-2.24%,0.17,0.73,45.00%,61.69
493,SZ,SZ Holdings Inc.,Financial,Property & Casualty Insurance,China,35226093.55,8.48,1.42,2.25,1.38,206.60,"613,583",-1.11,-0.72%,15.53%,1.28,0.38,34.59%,60.05
494,TA,TA Corp.,Financial,REIT - Office,China,3516960.79,,3.79,4.32,1.98,17.54,"30,212",5.21,15.78%,31.85%,0.87,0.71,26.47%,48.59
495,TB,TB Corp.,Financial,Investment Brokerage,Chile,24458620.55,25.02,6.41,1.23,,35.24,"73,068",1.33,15.92%,13.00%,1.13,1.63,41.25%,65.57
496,TC,TC Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,Chile,4738623.31,9.60,3.47,2.23,1.90,118.47,"818,640",-2.09,39.84%,13.69%,0.47,1.68,25.49%,58.44
497,TD,TD Corp.,Financial,Life Insurance,Chile,6037371.05,13.46,,0.78,2.64,18.13,"11,322",-2.42,19.76%,28.54%,0.35,0.83,52.74%,31.03
498,TE,TE Corp.,Financial,Closed-End Fund - Debt,Switzerland,14287329.18,22.07,,2.45,1.42,69.19,"269,465",4.27,7.80%,7.84%,0.31,1.07,46.26%,47.26
499,TF,TF Corp.,Healthcare,Biotechnology,Switzerland,293049.56,14.48,2.54,2.39,3.10,12.22,"18,069",5.74,11.27%,11.34%,0.69,1.01,46.00%,44.71
500,TG,TG Holdings Inc.,Healthcare,Drug Manufacturers,USA,305908.99,19.99,2.33,8.85,9.11,16.54,"83,242",-0.33,4.41%,22.96%,0.26,1.27,43.08%,44.52
501,TH,TH Holdings Inc.,Healthcare,Medical Laboratories,USA,29655373.73,16.11,2.93,1.39,4.35,50.67,"150,636",6.03,36.85%,12.77%,0.84,1.52,26.05%,52.86
502,TI,TI Holdings Inc.,Healthcare,Hospitals,USA,1350994.48,16.41,0.99,3.69,1.06,17.90,"657,455",1.11,5.83%,5.53%,0.20,0.97,28.73%,33.65
503,TJ,TJ Holdings Inc.,Healthcare,Biotechnology,USA,29623596.34,20.44,1.07,3.58,12.78,20.39,"10,750",1.24,9.71%,10.96%,0.33,1.16,12.92%,36.97
504,TK,TK Holdings Inc.,Healthcare,Drug Manufacturers,USA,3686222.74,19.45,1.90,,,17.90,"33,512",4.88,-9.41%,2.10%,0.60,0.54,29.22%,50.19
505,TL,TL Corp.,Healthcare,Medical Laboratories,USA,2236723.55,5.59,3.74,4.72,1.90,11.87,"368,426",1.53,-18.18%,9.30%,0.52,1.59,47.41%,49.20
506,TM,TM Holdings Inc.,Healthcare,Hospitals,USA,3904394.36,24.26,10.36,3.08,2.43,32.07,"5,087",6.60,13.97%,19.52%,0.41,0.84,10.22%,38.05
507,TN,TN Holdings Inc.,Healthcare,Biotechnology,USA,4951813.06,,1.21,1.76,,63.98,"18,316",3.96,10.76%,18.51%,0.26,0.90,22.88%,65.22
508,TO,TO Corp.,Healthcare,Drug Manufacturers,USA,893814.00,93.58,,1.34,,21.47,"95,879",0.22,16.22%,1.79%,1.26,0.50,29.04%,49.52
509,TP,TP Corp.,Healthcare,Medical Laboratories,USA,1312198.57,12.74,3.59,8.32,,21.80,"15,945",-1.88,16.57%,16.26%,0.58,0.94,50.71%,30.02
510,TQ,TQ Holdings Inc.,Healthcare,Hospitals,USA,29851338.66,19.06,2.01,0.79,3.08,18.85,"67,917",5.94,-19.14%,11.40%,0.21,0.97,17.13%,66.07
511,TR,TR Holdings Inc.,Healthcare,Biotechnology,USA,1688438.97,9.33,6.41,1.65,2.64,52.88,"339,924",0.60,-5.25%,22.44%,0.56,1.74,41.38%,29.79
512,TS,TS Holdings Inc.,Healthcare,Drug Manufacturers,USA,5519354.24,61.48,1.50,0.86,,8.18,"126,779",2.41,-6.55%,0.45%,0.19,0.48,23.59%,56.97
513,TT,TT Holdings Inc.,Healthcare,Medical Laboratories,USA,168694034.42,22.46,1.64,11.01,0.94,30.17,"15,929",0.87,30.81%,-10.33%,0.38,0.51,62.80%,41.95
514,TU,TU Holdings Inc.,Healthcare,Hospitals,USA,1270943.28,6.50,3.86,0.87,,22.21,"242,377",2.83,-3.29%,9.15%,0.81,0.84,45.02%,41.63
515,TV,TV Corp.,Healthcare,Biotechnology,USA,21468502.90,24.33,0.59,3.04,2.24,25.25,"138,706",6.83,-1.52%,12.00%,0.68,1.22,21.13%,55.90
516,TW,TW Holdings Inc.,Healthcare,Drug Manufacturers,USA,19634398.57,18.80,1.35,1.01,3.94,78.60,"900,189",6.31,-8.54%,7.83%,0.20,1.31,67.25%,42.41
517,TX,TX Holdings Inc.,Healthcare,Medical Laboratories,USA,11480859.51,14.26,2.06,8.70,2.98,56.97,"522,323",1.16,-15.32%,0.64%,1.52,1.70,35.45%,58.48
518,TY,TY Holdings Inc.,Healthcare,Hospitals,USA,5882784.87,8.57,0.68,12.05,2.21,65.23,"8,993",3.11,10.56%,22.33%,0.63,1.14,72.95%,28.72
519,TZ,TZ Holdings Inc.,Healthcare,Biotechnology,USA,459714.64,42.83,1.33,,4.23,7.86,"166,611",4.59,-7.08%,25.16%,2.48,1.28,4.89%,43.74
520,UA,UA Holdings Inc.,Healthcare,Drug Manufacturers,USA,3226489.37,13.46,3.65,0.68,0.61,32.78,"137,573",6.39,6.97%,10.80%,3.21,1.85,16.80%,39.29
521,UB,UB Corp.,Healthcare,Medical Laboratories,USA,2118030.42,17.32,0.74,,1.17,24.07,"22,996",0.74,0.46%,-0.83%,0.06,1.73,10.86%,23.15
522,UC,UC Holdings Inc.,Healthcare,Hospitals,USA,281386707.26,21.13,1.50,2.13,2.37,112.66,"1,152,661",0.72,6.91%,-18.60%,1.32,1.61,37.29%,53.87
523,UD,UD Corp.,Healthcare,Biotechnology,USA,1971311.72,43.45,4.64,4.07,5.77,24.32,"6,381",3.65,9.05%,-3.71%,0.18,0.72,55.44%,79.23
524,UE,UE Corp.,Healthcare,Drug Manufacturers,USA,1088722.52,16.74,0.53,4.27,2.22,26.36,"16,100",5.54,28.67%,10.69%,0.67,0.48,22.03%,58.00
525,UF,UF Holdings Inc.,Healthcare,Medical Laboratories,USA,1980242.37,23.19,,2.19,7.27,18.35,"731,971",-1.17,4.10%,5.91%,0.67,0.80,36.40%,66.50
526,UG,UG Corp.,Healthcare,Hospitals,USA,820522.02,15.09,1.32,3.15,1.60,19.08,"258,283",-1.22,2.99%,13.84%,0.42,1.34,51.22%,68.27
527,UH,UH Holdings Inc.,Healthcare,Biotechnology,USA,198335.64,26.23,0.82,,1.70,17.07,"533,220",2.24,28.60%,11.95%,0.32,0.73,40.20%,61.30
528,UI,UI Corp.,Healthcare,Drug Manufacturers,USA,5428954.89,37.79,1.00,1.18,3.85,52.78,"61,247",-0.68,17.89%,-4.91%,0.77,1.20,49.19%,71.98
529,UJ,UJ Holdings Inc.,Healthcare,Medical Laboratories,USA,1137435.36,15.16,1.44,1.15,1.70,15.40,"69,592",-0.27,12.71%,4.03%,0.34,1.02,44.51%,29.28
530,UK,UK Corp.,Healthcare,Hospitals,USA,1510117.51,18.80,2.28,2.37,2.19,14.85,"77,635",6.45,4.40%,-3.00%,0.73,0.72,91.89%,55.48
531,UL,UL Corp.,Healthcare,Biotechnology,USA,4220165.87,5.59,2.67,1.01,1.21,21.52,"3,586",0.34,19.11%,1.69%,2.63,0.74,57.81%,65.20
532,UM,UM Holdings Inc.,Healthcare,Drug Manufacturers,USA,10897997.91,23.68,6.33,,2.01,41.59,"34,071",0.98,23.31%,18.32%,0.39,1.42,30.40%,47.04
533,UN,UN Corp.,Healthcare,Medical Laboratories,USA,52719476.13,6.07,2.15,1.66,3.40,77.68,"115,306",7.73,5.50%,16.87%,0.97,1.01,48.07%,36.26
534,UO,UO Holdings Inc.,Healthcare,Hospitals,USA,46467986.47,18.81,1.86,2.55,3.44,57.92,"11,331",-0.74,1.16%,7.08%,0.34,0.72,62.08%,55.16
535,UP,UP Corp.,Healthcare,Biotechnology,USA,24179569.48,9.01,0.76,2.36,6.58,48.51,"124,198",3.25,4.75%,8.02%,0.39,1.36,31.27%,34.36
536,UQ,UQ Holdings Inc.,Healthcare,Drug Manufacturers,USA,1591841.78,,,6.09,1.64,24.41,"13,993",7.02,-15.41%,14.26%,0.55,1.42,21.93%,47.25
537,UR,UR Corp.,Healthcare,Medical Laboratories,USA,197549.62,38.28,1.62,1.19,2.45,8.36,"16,987",2.48,17.22%,-17.49%,0.72,0.59,30.33%,73.80
538,US,US Corp.,Healthcare,Hospitals,USA,1811326.72,45.55,1.76,2.57,2.33,44.86,"122,910",3.97,12.62%,9.32%,0.62,0.78,55.64%,37.19
539,UT,UT Holdings Inc.,Healthcare,Biotechnology,USA,700869.82,25.06,0.82,2.65,,15.51,"175,207",0.64,16.21%,10.58%,0.21,0.22,26.85%,56.41
540,UU,UU Holdings Inc.,Healthcare,Drug Manufacturers,USA,57752137.77,14.96,,0.73,3.10,68.50,"11,436",2.98,-10.80%,-0.55%,0.24,0.81,33.91%,49.58
541,UV,UV Corp.,Healthcare,Medical Laboratories,USA,4378222.65,36.06,2.18,1.26,0.89,77.84,"396,522",-3.85,10.35%,5.66%,0.14,1.44,23.84%,71.84
542,UW,UW Holdings Inc.,Healthcare,Hospitals,USA,6914534.16,35.98,2.20,0.96,1.94,23.13,"297,959",1.24,10.50%,-27.13%,0.40,1.39,19.47%,42.87
543,UX,UX Holdings Inc.,Healthcare,Biotechnology,USA,16618544.39,8.51,1.41,1.86,3.93,59.43,"128,449",1.20,-8.32%,30.43%,0.54,0.73,38.74%,55.87
544,UY,UY Corp.,Healthcare,Drug Manufacturers,USA,8604694.65,40.39,,3.45,1.87,46.39,"64,088",2.16,-15.26%,19.46%,0.08,2.27,73.78%,61.18
545,UZ,UZ Corp.,Healthcare,Medical Laboratories,USA,1753856.18,22.48,,1.67,1.79,11.95,"214,446",7.31,13.94%,14.82%,0.46,1.28,47.60%,59.50
546,VA,VA Holdings Inc.,Healthcare,Hospitals,USA,3004437.71,17.09,0.95,1.49,1.65,7.48,"197,120",3.30,19.33%,22.04%,1.31,1.89,25.09%,58.84
547,VB,VB Holdings Inc.,Healthcare,Biotechnology,USA,25735354.79,22.14,1.21,2.60,2.25,131.99,"55,464",-1.87,-2.70%,1.97%,1.74,0.55,65.01%,52.74
548,VC,VC Corp.,Healthcare,Drug Manufacturers,USA,1194747.76,8.30,0.86,1.25,1.77,32.91,"61,319",3.10,8.49%,2.05%,0.12,0.60,47.84%,47.61
549,VD,VD Holdings Inc.,Healthcare,Medical Laboratories,USA,516222.94,10.71,2.16,2.13,4.02,16.93,"114,867",1.25,11.83%,9.77%,0.74,1.19,43.46%,56.78
550,VE,VE Holdings Inc.,Healthcare,Hospitals,USA,10869112.30,23.68,2.70,1.26,1.78,71.34,"37,338",-2.16,-5.64%,12.53%,0.33,2.57,56.99%,50.45
551,VF,VF Corp.,Healthcare,Biotechnology,USA,28734979.71,17.11,5.20,0.54,3.24,34.80,"33,493",6.42,12.80%,10.97%,2.22,1.25,45.62%,52.79
552,VG,VG Holdings Inc.,Healthcare,Drug Manufacturers,USA,6449412.79,10.82,3.82,1.29,0.75,16.45,"240,716",2.37,21.66%,16.43%,0.57,1.27,56.21%,45.02
553,VH,VH Corp.,Healthcare,Medical Laboratories,USA,2568857.77,18.86,2.16,1.88,1.97,50.38,"42,976",5.63,4.11%,10.39%,0.33,0.98,30.58%,63.46
554,VI,VI Holdings Inc.,Healthcare,Hospitals,USA,5125094.22,14.40,4.48,1.77,6.49,54.57,"52,859",2.51,-0.99%,9.62%,0.38,0.91,43.53%,54.52
555,VJ,VJ Holdings Inc.,Healthcare,Biotechnology,USA,3070206.63,17.95,2.58,2.14,6.05,13.47,"66,487",1.34,-7.46%,-8.47%,1.17,0.84,92.32%,73.67
556,VK,VK Holdings Inc.,Healthcare,Drug Manufacturers,USA,1758310.73,17.77,2.95,4.31,0.81,14.42,"7,296,210",10.21,16.53%,31.09%,0.98,0.72,37.31%,61.16
557,VL,VL Corp.,Healthcare,Medical Laboratories,USA,3234426.54,23.41,1.74,1.33,2.12,25.06,"80,607",6.46,-9.49%,6.15%,0.57,1.36,21.33%,35.98
558,VM,VM Holdings Inc.,Healthcare,Hospitals,USA,7732862.76,5.93,0.93,1.42,5.26,10.27,"167,463",3.12,26.17%,23.89%,0.53,0.84,18.22%,41.24
559,VN,VN Holdings Inc.,Healthcare,Biotechnology,USA,8314910.81,23.56,2.39,4.16,3.00,129.40,"12,220",8.41,22.01%,9.79%,0.23,0.40,25.31%,64.49
560,VO,VO Corp.,Healthcare,Drug Manufacturers,USA,2101266.80,11.26,2.28,1.42,0.86,49.16,"558,325",4.40,27.18%,2.94%,1.20,1.17,75.00%,55.40
561,VP,VP Corp.,Healthcare,Medical Laboratories,USA,13168774.09,20.93,0.96,3.55,1.58,81.90,"539,290",5.89,36.31%,17.93%,0.54,0.15,23.58%,44.85
562,VQ,VQ Holdings Inc.,Healthcare,Hospitals,USA,56752954.46,15.89,2.19,1.51,3.25,71.86,"1,916,905",1.01,14.50%,16.11%,1.17,0.78,38.55%,45.10
563,VR,VR Holdings Inc.,Healthcare,Biotechnology,USA,8600729.99,,0.64,1.90,2.21,32.30,"76,943",0.44,24.02%,-7.36%,0.46,0.72,45.66%,62.76
564,VS,VS Holdings Inc.,Healthcare,Drug Manufacturers,USA,25755927.46,18.15,3.09,2.56,4.33,139.18,"287,267",9.37,-17.55%,1.87%,0.35,2.18,63.30%,73.78
565,VT,VT Corp.,Healthcare,Medical Laboratories,USA,26458811.04,19.16,1.26,0.51,2.27,30.83,"218,585",5.91,7.78%,5.98%,0.20,2.00,38.99%,50.86
566,VU,VU Corp.,Healthcare,Hospitals,USA,565053.75,29.32,1.38,1.19,1.63,10.91,"4,080",2.72,-2.55%,19.27%,0.38,1.01,8.65%,31.60
567,VV,VV Holdings Inc.,Healthcare,Biotechnology,USA,935439.67,18.00,1.16,0.76,2.44,32.40,"28,392",-1.14,27.26%,10.93%,1.85,0.77,19.96%,35.83
568,VW,VW Corp.,Healthcare,Drug Manufacturers,USA,27735489.70,30.66,2.62,0.69,6.57,19.61,"22,360",6.00,6.62%,32.02%,0.57,1.56,58.63%,54.82
569,VX,VX Holdings Inc.,Healthcare,Medical Laboratories,USA,1244559.14,12.67,,0.87,4.18,27.26,"154,527",4.77,12.95%,-4.70%,0.10,0.59,24.69%,55.28
570,VY,VY Corp.,Healthcare,Hospitals,USA,22155145.96,11.21,1.95,2.17,2.22,30.35,"31,599",5.19,16.53%,14.61%,0.07,1.18,27.22%,73.40
571,VZ,VZ Corp.,Healthcare,Biotechnology,USA,1569106.53,56.92,3.29,18.83,2.70,34.36,"51,420",2.09,48.53%,11.32%,0.37,0.96,20.42%,47.57
572,WA,WA Corp.,Healthcare,Drug Manufacturers,USA,1308850.10,21.05,1.25,0.61,1.80,24.00,"5,362",7.53,17.51%,-7.06%,1.58,1.76,41.59%,40.22
573,WB,WB Corp.,Healthcare,Medical Laboratories,USA,109866513.54,9.69,0.75,2.15,7.11,117.06,"137,587",9.46,26.64%,2.94%,1.49,0.95,35.29%,31.26
574,WC,WC Corp.,Healthcare,Hospitals,USA,866202.62,11.89,,7.13,2.40,21.02,"168,964",3.79,-14.45%,-5.88%,0.56,1.04,43.11%,68.78
575,WD,WD Holdings Inc.,Healthcare,Biotechnology,USA,2027954.00,16.47,1.51,2.53,1.90,56.92,"252,991",4.64,10.68%,18.09%,0.40,1.60,56.51%,71.01
576,WE,WE Holdings Inc.,Healthcare,Drug Manufacturers,USA,6286701.02,21.21,0.47,2.79,3.22,38.65,"45,977",3.71,-4.06%,6.08%,0.19,0.96,47.70%,56.61
577,WF,WF Holdings Inc.,Healthcare,Medical Laboratories,USA,58004516.67,33.44,1.26,1.88,6.86,32.99,"64,857",-0.86,11.76%,-1.31%,0.24,0.75,11.56%,24.98
578,WG,WG Holdings Inc.,Healthcare,Hospitals,Canada,11429956.70,15.06,1.74,,1.02,52.74,"2,226,239",-1.13,11.63%,18.51%,0.99,1.31,16.96%,79.32
579,WH,WH Corp.,Healthcare,Biotechnology,Canada,3138498.73,13.92,3.58,,1.06,20.23,"1,232,907",-0.31,-5.21%,-0.18%,0.82,1.44,22.33%,42.94
580,WI,WI Holdings Inc.,Healthcare,Drug Manufacturers,Canada,9465453.48,9.91,1.20,0.57,,49.34,"392,654",7.08,12.96%,-4.45%,0.37,1.27,49.65%,38.41
581,WJ,WJ Holdings Inc.,Healthcare,Medical Laboratories,Canada,796375.79,22.96,4.55,2.88,0.41,8.04,"2,137",-0.69,-3.37%,2.70%,0.21,1.14,59.01%,64.37
582,WK,WK Holdings Inc.,Healthcare,Hospitals,Canada,976231.72,32.70,3.57,2.38,2.47,51.82,"25,805",0.17,22.38%,7.11%,1.13,0.84,46.87%,21.33
583,WL,WL Holdings Inc.,Healthcare,Biotechnology,Canada,39719269.81,22.19,2.01,3.37,2.35,143.15,"282,831",0.33,19.85%,10.21%,0.38,1.33,20.52%,44.59
584,WM,WM Corp.,Healthcare,Drug Manufacturers,Canada,6202683.19,,,1.47,1.00,13.74,"2,747",4.29,-1.41%,24.95%,0.09,0.88,8.94%,75.51
585,WN,WN Corp.,Healthcare,Medical Laboratories,Canada,6742537.83,38.50,1.36,4.67,4.94,71.33,"118,825",-1.99,30.33%,9.86%,0.67,0.79,14.58%,41.97
586,WO,WO Corp.,Healthcare,Hospitals,UK,4268819.07,49.73,1.56,2.81,,46.43,"27,311",4.81,9.84%,17.32%,0.65,1.90,62.97%,30.94
587,WP,WP Corp.,Healthcare,Biotechnology,UK,151874831.48,30.40,0.82,2.19,1.96,75.23,"60,087",4.67,10.27%,-7.99%,0.29,0.98,73.69%,46.56
588,WQ,WQ Corp.,Healthcare,Drug Manufacturers,UK,6090596.85,18.38,,3.20,2.76,34.78,"17,303",1.87,-8.73%,17.61%,0.47,0.31,20.16%,25.17
589,WR,WR Corp.,Healthcare,Medical Laboratories,UK,9560609.61,12.40,2.25,1.68,3.18,91.84,"3,325",-1.30,-7.52%,14.04%,1.69,0.89,58.84%,58.36
