country,region,year,quarter,income_group,primary_export_sector,currency_regime,imf_program_active,population,gdp_per_capita_usd,exports_pct_gdp,imports_pct_gdp,tourism_arrivals_millions,tourism_revenue_pct_gdp,fdi_inflow_pct_gdp,inflation_rate_pct,unemployment_rate_pct,central_bank_rate_pct,government_debt_pct_gdp,fiscal_balance_pct_gdp,trade_balance_pct_gdp,commodity_export_price_index,exchange_rate_volatility_index,education_spending_pct_gdp,political_stability_index,natural_disaster_event,disaster_damage_pct_gdp,imf_next_year_growth_forecast_pct,gdp_growth_rate_pct
Belize,Central America,2010,Q1,Upper middle income,Tourism & Services,Pegged (Dollarized),Yes,"390,863 people","$4,420",38.5%,39.9%,2.45 million visitors,7.3%,3.2%,4.0%,9.7%,6.4%,89.5%,(2.3%),(0.4%),85.4,14.5,5.1%,-0.23,No,..,(1.2%),0.5%
Jamaica,Caribbean,2022,Q3,Upper middle income,Tourism & Services,Floating,Yes,"2,838,757 people","$4,575",36.8%,34.4%,2.69 million visitors,8.5%,1.4%,3.6%,9.1%,3.8%,100.0%,(3.2%),2.0%,112.0,23.5,3.9%,0.07,No,..,5.1%,3.1%
 Nicaragua ,Central America,2007,Q2,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,411,296 people","$2,465",30.3%,22.0%,0.05 million visitors,4.8%,3.5%,6.4%,6.3%,7.5%,38.1%,(4.9%),9.1%,95.4,53.1,4.6%,-0.96,No,..,1.5%,2.4%
 Nicaragua ,Central America,2022,Q1,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,441,365 people","$2,075",51.5%,55.5%,1.77 million visitors,1.9%,2.8%,2.0%,2.6%,3.9%,39.8%,(3.2%),(3.9%),96.7,26.8,6.9%,-0.94,No,..,1.1%,2.6%
BOLIVIA,South America,2020,Q4,Lower middle income,Mining & Extractives,Managed Float,No,"11,478,459 people","$3,938",43.7%,59.4%,0.49 million visitors,1.9%,2.2%,7.5%,6.5%,10.9%,51.6%,(0.9%),(16.4%),80.6,26.7,4.0%,0.33,No,..,(3.5%),0.3%
TRINIDAD AND TOBAGO,Caribbean,2019,Q1,High income,Mining & Extractives,Floating,No,"1,433,423 people","$15,655",42.5%,57.4%,0.37 million visitors,1.1%,2.8%,4.4%,9.1%,6.5%,67.5%,(5.6%),(14.2%),97.2,21.5,4.9%,0.34,Yes,4.9%,(0.6%),(1.7%)
HONDURAS,Central America,2003,Q1,Lower middle income,Agriculture & Agro-exports,Floating,Yes,"9,464,427 people","$3,679",38.1%,32.5%,1.86 million visitors,0.8%,2.3%,5.4%,8.1%,7.6%,45.6%,(2.1%),7.0%,97.3,40.7,3.4%,-0.63,No,..,3.0%,1.9%
Guatemala,Central America,2015,Q1,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,433,093 people","$4,303",41.9%,47.6%,0.76 million visitors,0.8%,2.3%,4.8%,8.3%,8.0%,43.4%,(4.6%),(4.5%),116.3,47.7,4.9%,-0.8,No,..,0.7%,3.0%
bolivia,South America,2003,Q1,Lower middle income,Mining & Extractives,Managed Float,Yes,"11,543,655 people","$4,400",41.0%,47.2%,0.37 million visitors,1.6%,0.5%,7.1%,3.8%,9.4%,40.6%,(3.9%),(5.7%),103.2,21.3,3.9%,-0.66,No,..,(0.9%),(0.2%)
JAMAICA,Caribbean,2014,Q1,Upper middle income,Tourism & Services,Floating,No,"2,871,960 people","$6,175",43.6%,40.5%,1.37 million visitors,8.7%,3.7%,2.6%,9.5%,5.6%,94.5%,(1.8%),3.4%,114.2,18.9,5.0%,-0.31,No,..,4.3%,2.8%
EL SALVADOR,Central America,2014,Q3,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,348,445 people","$4,750",39.1%,38.2%,0.16 million visitors,1.4%,3.8%,3.0%,9.3%,5.7%,80.3%,(3.8%),(0.7%),92.7,20.8,4.2%,-0.56,No,..,1.3%,0.3%
HONDURAS,Central America,2014,Q2,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,497,655 people","$2,273",41.2%,52.2%,2.06 million visitors,1.3%,5.0%,8.1%,9.0%,8.6%,53.5%,0.5%,(12.1%),95.2,34.3,3.4%,-1.05,No,..,1.0%,1.2%
 Honduras ,Central America,2021,Q4,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,530,021 people","$2,695",31.1%,31.0%,0.73 million visitors,1.6%,(0.5%),3.9%,5.6%,7.2%,59.7%,(1.6%),0.3%,107.7,50.7,3.9%,-1.01,No,..,0.7%,1.8%
 Paraguay ,South America,2011,Q3,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,863,037 people","$6,045",46.0%,47.0%,0.05 million visitors,0.5%,0.5%,2.4%,7.5%,4.2%,29.5%,(2.9%),(0.7%),117.8,23.5,4.9%,-1.09,No,..,4.4%,2.4%
paraguay,South America,2021,Q4,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,839,735 people","$5,813",40.5%,41.2%,1.05 million visitors,3.0%,2.4%,7.9%,7.9%,10.1%,29.5%,(3.2%),1.2%,125.1,36.9,5.1%,-0.18,No,..,2.7%,4.4%
HONDURAS,Central America,2005,Q3,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,419,374 people","$2,704",35.3%,52.7%,..,0.5%,3.5%,9.3%,6.9%,10.9%,44.8%,(2.5%),(16.7%),96.8,44.9,4.4%,-0.53,No,..,1.8%,1.5%
Trinidad and Tobago,Caribbean,2004,Q1,High income,Mining & Extractives,Floating,No,"1,390,287 people","$16,612",39.2%,37.8%,0.38 million visitors,1.3%,1.9%,0.1%,11.8%,1.5%,60.4%,(4.5%),0.4%,98.4,25.5,5.0%,0.1,No,..,(0.3%),0.3%
el salvador,Central America,2017,Q2,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,275,321 people","$4,278",32.6%,35.3%,1.24 million visitors,0.6%,4.8%,9.5%,9.5%,11.9%,82.2%,(0.2%),(2.9%),92.3,4.2,5.7%,-0.68,No,..,(1.5%),0.5%
guyana,South America,2020,Q2,High income,Mining & Extractives,Floating,No,"823,166 people","$14,369",34.5%,35.6%,0.05 million visitors,0.5%,4.9%,6.5%,5.1%,9.9%,34.9%,(3.5%),(1.2%),102.8,32.6,4.8%,0.04,No,..,9.6%,9.1%
JAMAICA,Caribbean,2008,Q4,Upper middle income,Tourism & Services,Floating,No,"2,745,156 people","$6,022",32.8%,38.7%,2.43 million visitors,6.2%,5.1%,5.4%,3.7%,7.9%,96.3%,(5.0%),(5.4%),113.0,31.0,3.4%,-0.65,No,..,(0.1%),2.5%
 Belize ,Central America,2021,Q4,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"321,187 people","$5,098",34.0%,36.6%,2.08 million visitors,7.9%,2.1%,0.4%,6.4%,0.8%,89.2%,(2.2%),(2.4%),71.9,28.6,3.7%,0.42,No,..,0.0%,1.3%
Guyana,South America,2012,Q1,High income,Mining & Extractives,Floating,No,"779,731 people","$14,898",44.6%,55.2%,0.05 million visitors,0.5%,1.1%,6.2%,6.2%,9.8%,40.7%,(1.6%),(10.1%),106.1,35.4,3.9%,0.22,No,..,14.1%,12.0%
Bolivia,South America,2022,Q1,Lower middle income,Mining & Extractives,Managed Float,No,"11,411,365 people","$2,779",36.0%,46.2%,0.66 million visitors,0.5%,5.3%,3.2%,7.2%,4.8%,50.6%,(0.9%),(10.0%),74.9,29.1,4.1%,-1.06,No,..,4.0%,3.1%
Dominican Republic,Caribbean,2008,Q1,Upper middle income,Tourism & Services,Managed Float,No,"10,793,768 people","$8,898",32.7%,37.1%,1.87 million visitors,4.5%,4.7%,3.5%,7.7%,6.1%,44.4%,0.1%,(4.4%),98.7,30.4,5.8%,-0.27,No,..,2.6%,4.1%
uruguay,South America,2017,Q1,High income,Agriculture & Agro-exports,Floating,No,"3,375,805 people","$16,467",37.2%,40.6%,1.25 million visitors,3.2%,(1.3%),10.3%,8.3%,11.3%,79.9%,(3.7%),(2.4%),90.5,45.5,3.7%,1.54,No,..,2.0%,2.9%
COSTA RICA,Central America,2023,Q2,Upper middle income,Tourism & Services,Managed Float,No,"5,022,598 people","$13,543",46.1%,49.9%,2.50 million visitors,8.0%,1.9%,6.1%,5.2%,9.3%,54.1%,(4.6%),(3.0%),93.1,47.3,7.1%,1.08,No,..,6.3%,3.5%
panama,Central America,2011,Q1,High income,Trade & Logistics,Pegged (Dollarized),No,"4,192,571 people","$14,965",30.5%,45.6%,..,5.1%,5.2%,4.2%,12.2%,6.6%,53.9%,(1.4%),(15.4%),101.2,22.3,5.3%,0.42,No,..,3.9%,3.9%
EL SALVADOR,Central America,2020,Q2,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),Yes,"6,293,737 people","$5,345",28.3%,24.8%,1.27 million visitors,3.3%,(0.3%),4.4%,7.8%,6.6%,80.8%,(4.5%),4.1%,97.7,28.7,5.8%,-1.02,No,..,1.2%,0.5%
guyana,South America,2020,Q4,High income,Mining & Extractives,Floating,No,"777,950 people","$15,179",40.9%,46.4%,0.05 million visitors,2.0%,0.9%,4.2%,10.8%,5.4%,34.9%,(2.0%),(7.5%),102.8,47.1,3.8%,-0.32,No,..,7.7%,8.3%
belize,Central America,2005,Q4,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"377,413 people","$5,718",39.0%,35.9%,2.35 million visitors,6.3%,5.4%,3.1%,5.5%,6.0%,85.5%,(3.7%),2.4%,88.0,10.8,4.2%,0.21,No,..,0.1%,1.0%
 Guyana ,South America,2012,Q2,High income,Mining & Extractives,Floating,No,"872,436 people","$14,181",48.2%,49.6%,0.05 million visitors,0.5%,1.7%,11.7%,7.6%,14.8%,40.7%,(3.1%),(0.9%),106.1,14.5,5.3%,0.18,No,..,10.1%,10.6%
Guatemala,Central America,2021,Q1,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,517,234 people","$3,676",41.0%,52.1%,0.60 million visitors,0.7%,(1.5%),6.0%,6.8%,8.9%,45.3%,(1.2%),(10.7%),100.1,39.6,3.5%,-0.36,No,..,1.8%,1.9%
belize,Central America,2018,Q3,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"339,979 people","$4,498",37.7%,36.7%,2.58 million visitors,7.1%,(2.2%),2.2%,4.7%,4.6%,90.2%,(5.3%),(0.5%),66.0,23.3,..,-0.33,No,..,1.4%,3.4%
bolivia,South America,2004,Q3,Lower middle income,Mining & Extractives,Managed Float,No,"11,580,222 people","$2,604",44.8%,47.9%,0.31 million visitors,2.9%,2.9%,5.1%,11.3%,5.5%,40.8%,(5.6%),(2.1%),102.6,44.4,5.1%,-0.97,No,..,0.7%,2.7%
ecuador,South America,2014,Q4,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,489,778 people","$6,419",33.5%,41.6%,0.05 million visitors,4.4%,..,2.9%,9.4%,5.0%,67.2%,(4.1%),(7.8%),86.7,38.1,2.6%,-0.14,No,..,2.6%,2.7%
guatemala,Central America,2003,Q2,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,487,947 people","$5,251",44.6%,51.9%,..,4.1%,1.0%,4.1%,8.0%,4.8%,35.9%,(2.7%),(8.0%),101.5,48.8,3.5%,-0.5,No,..,1.9%,0.9%
Belize,Central America,2005,Q2,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"402,790 people","$5,567",30.6%,40.7%,3.11 million visitors,6.9%,..,0.4%,6.7%,1.6%,85.5%,(2.0%),(9.8%),88.0,10.8,4.2%,-0.12,No,..,4.5%,1.3%
Panama,Central America,2010,Q2,High income,Trade & Logistics,Pegged (Dollarized),No,"4,222,556 people","$15,850",39.5%,42.0%,1.91 million visitors,5.8%,7.8%,4.7%,9.0%,7.1%,53.1%,(8.8%),(2.2%),103.9,6.8,4.5%,0.01,No,..,4.7%,4.8%
guyana,South America,2010,Q3,High income,Mining & Extractives,Floating,No,"797,454 people","$13,393",39.2%,40.5%,0.62 million visitors,1.3%,1.6%,4.4%,8.4%,9.0%,39.5%,(3.2%),0.2%,99.2,47.4,3.4%,0.74,No,..,10.0%,10.2%
JAMAICA,Caribbean,2022,Q1,Upper middle income,Tourism & Services,Floating,No,"2,820,678 people","$5,111",33.0%,29.5%,2.30 million visitors,8.0%,3.4%,1.1%,4.7%,2.7%,100.0%,(3.6%),3.4%,112.0,36.7,3.4%,-0.76,No,..,(1.9%),(0.6%)
PARAGUAY,South America,2020,Q1,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,766,643 people","$6,302",36.4%,48.8%,1.31 million visitors,2.0%,3.8%,7.1%,6.8%,9.2%,28.2%,(2.2%),(12.0%),129.2,40.7,6.0%,-0.33,No,..,3.1%,2.1%
ECUADOR,South America,2017,Q3,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,434,439 people","$5,818",38.0%,53.4%,1.91 million visitors,2.1%,4.7%,6.5%,9.6%,7.5%,64.4%,(6.1%),(16.1%),80.9,10.9,4.1%,-0.23,No,..,0.6%,1.1%
jamaica,Caribbean,2016,Q1,Upper middle income,Tourism & Services,Floating,No,"2,826,001 people","$5,580",33.6%,39.7%,2.11 million visitors,6.0%,0.5%,6.6%,3.2%,9.7%,99.3%,(3.7%),(5.5%),114.3,39.4,2.8%,0.17,No,..,1.4%,3.1%
trinidad and tobago,Caribbean,2013,Q3,High income,Mining & Extractives,Floating,No,"1,480,714 people","$16,273",36.2%,32.5%,0.60 million visitors,1.6%,5.2%,3.6%,8.5%,7.4%,62.7%,(5.2%),3.7%,85.8,45.0,5.1%,0.22,No,..,1.7%,1.6%
Guyana,South America,2011,Q4,High income,Mining & Extractives,Floating,No,"815,344 people","$14,053",42.9%,42.1%,0.05 million visitors,0.5%,1.8%,1.5%,10.6%,6.4%,43.2%,(1.8%),(0.8%),99.7,18.0,4.9%,0.38,No,..,9.6%,9.8%
ECUADOR,South America,2022,Q3,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,474,939 people","$5,136",34.9%,29.9%,1.27 million visitors,3.4%,6.5%,5.0%,11.0%,7.7%,65.2%,(6.9%),5.0%,72.2,16.7,4.4%,-0.86,No,..,(0.9%),(0.2%)
Belize,Central America,2004,Q4,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"292,503 people","$5,065",33.4%,29.4%,..,8.2%,2.8%,6.0%,10.4%,10.3%,86.2%,(2.4%),1.8%,86.2,2.0,6.1%,-0.55,No,..,4.1%,2.8%
Honduras,Central America,2012,Q4,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,562,136 people","$2,269",47.1%,52.0%,1.98 million visitors,2.0%,1.5%,1.8%,7.6%,5.5%,51.5%,0.4%,(3.2%),92.7,50.4,4.0%,-0.5,No,..,4.1%,2.7%
Dominican  Republic,Caribbean,2004,Q1,Upper middle income,Tourism & Services,Managed Float,No,"10,757,355 people","$7,981",33.3%,30.8%,1.79 million visitors,2.8%,1.0%,8.1%,7.0%,8.4%,49.3%,(1.3%),1.8%,87.2,35.2,..,0.06,No,..,4.5%,4.2%
belize,Central America,2009,Q2,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"397,434 people","$4,961",29.1%,39.7%,2.14 million visitors,8.5%,2.6%,5.5%,9.2%,8.1%,89.4%,(1.2%),(10.3%),83.9,27.4,4.8%,0.44,Yes,1.1%,(2.0%),1.0%
 Nicaragua ,Central America,2012,Q1,Lower middle income,Agriculture & Agro-exports,Managed Float,Yes,"6,505,646 people","$2,406",39.3%,40.9%,1.55 million visitors,3.6%,3.0%,5.5%,9.4%,7.1%,39.2%,(1.9%),(2.8%),102.7,43.7,5.7%,-0.91,Yes,3.4%,3.0%,2.0%
 Ecuador ,South America,2020,Q2,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,388,310 people","$6,529",33.8%,47.4%,0.71 million visitors,6.6%,4.9%,2.2%,2.3%,4.5%,64.8%,(4.1%),(14.3%),76.3,12.4,4.0%,-0.84,No,..,2.5%,2.0%
Uruguay,South America,2015,Q1,High income,Agriculture & Agro-exports,Floating,No,"3,498,011 people","$16,499",43.1%,46.1%,0.59 million visitors,5.5%,1.8%,4.4%,8.7%,7.3%,76.1%,(3.3%),(2.0%),85.8,44.6,4.9%,0.65,No,..,(0.1%),2.7%
Dominican  Republic,Caribbean,2012,Q4,Upper middle income,Tourism & Services,Managed Float,No,"10,820,735 people","$9,430",34.8%,39.3%,..,8.8%,3.2%,4.1%,10.7%,6.4%,48.4%,(2.0%),(2.4%),89.8,27.9,2.6%,0.03,No,..,4.3%,5.2%
Uruguay,South America,2019,Q3,High income,Agriculture & Agro-exports,Floating,Yes,"3,468,785 people","$16,799",33.4%,32.1%,..,5.9%,3.2%,3.6%,5.8%,5.7%,78.2%,(4.8%),(1.1%),99.1,31.2,4.8%,0.97,No,..,3.8%,3.2%
Nicaragua,Central America,2019,Q4,Lower middle income,Agriculture & Agro-exports,Managed Float,Yes,"6,569,366 people","$1,524",40.3%,47.1%,0.65 million visitors,0.5%,0.8%,5.6%,7.3%,6.7%,41.1%,(3.3%),(6.5%),102.2,39.4,3.7%,-1.66,No,..,(0.0%),1.6%
 Uruguay ,South America,2009,Q4,High income,Agriculture & Agro-exports,Floating,No,"3,397,900 people","$17,014",45.1%,58.8%,0.23 million visitors,2.7%,4.4%,2.7%,7.9%,4.1%,66.7%,(3.7%),(13.1%),79.6,29.7,4.6%,0.84,No,..,0.3%,0.5%
 El Salvador ,Central America,2007,Q4,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,287,758 people","$3,741",34.0%,39.5%,1.85 million visitors,2.6%,3.3%,8.1%,6.3%,9.9%,74.8%,(2.5%),(6.4%),102.8,23.8,6.3%,-0.53,No,..,1.4%,3.2%
Jamaica,Caribbean,2023,Q2,Upper middle income,Tourism & Services,Floating,No,"2,819,645 people","$5,005",34.4%,33.2%,3.07 million visitors,8.2%,7.2%,(2.0%),10.4%,0.2%,97.6%,(6.2%),(0.1%),108.4,35.0,5.0%,0.13,No,..,0.4%,0.7%
guatemala,Central America,2016,Q1,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,430,316 people","$4,917",33.2%,38.1%,1.38 million visitors,1.1%,7.1%,6.1%,8.7%,9.9%,44.8%,(3.8%),(3.9%),115.8,38.5,3.7%,-0.47,No,..,(0.4%),0.3%
Ecuador,South America,2003,Q1,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,440,445 people","$5,430",34.5%,37.3%,0.89 million visitors,4.6%,6.0%,2.1%,7.6%,3.4%,60.3%,(3.6%),(5.3%),100.2,4.7,3.7%,-0.66,No,..,1.0%,1.8%
 Guyana ,South America,2013,Q2,High income,Mining & Extractives,Floating,No,"862,999 people","$14,428",44.3%,43.5%,0.35 million visitors,0.5%,1.5%,3.7%,6.0%,4.9%,39.3%,(2.9%),1.0%,104.8,36.7,5.4%,0.02,No,..,12.6%,12.7%
Panama,Central America,2007,Q3,High income,Trade & Logistics,Pegged (Dollarized),No,"4,263,572 people","$15,942",37.2%,43.2%,1.65 million visitors,0.9%,1.7%,4.8%,5.0%,4.9%,49.2%,(3.8%),(7.0%),101.7,13.3,5.7%,0.25,No,..,4.5%,3.3%
Dominican  Republic,Caribbean,2023,Q2,Upper middle income,Tourism & Services,Managed Float,No,"10,805,899 people","$8,480",32.2%,31.5%,3.62 million visitors,6.1%,5.5%,5.8%,4.2%,8.3%,51.6%,(1.0%),(0.3%),90.8,29.3,5.3%,0.45,Yes,3.4%,5.6%,3.1%
Uruguay,South America,2005,Q2,High income,Agriculture & Agro-exports,Floating,No,"3,376,224 people","$17,094",33.3%,40.0%,2.12 million visitors,2.2%,4.1%,5.5%,4.6%,6.7%,60.3%,(3.5%),(6.6%),98.6,26.4,4.1%,1.56,No,..,2.6%,3.4%
guatemala,Central America,2022,Q2,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,510,885 people","$4,533",32.9%,34.8%,1.19 million visitors,0.8%,7.8%,5.1%,4.6%,7.5%,45.7%,2.1%,(0.5%),91.4,46.9,4.3%,-0.87,No,..,(0.1%),1.1%
Trinidad  and  Tobago,Caribbean,2022,Q2,High income,Mining & Extractives,Floating,No,"1,415,068 people","$16,513",47.6%,47.7%,0.24 million visitors,5.3%,3.0%,7.2%,11.0%,9.0%,70.5%,(6.0%),(1.0%),98.4,48.5,5.5%,-0.0,No,..,(1.7%),(0.7%)
PANAMA,Central America,2019,Q2,High income,Trade & Logistics,Pegged (Dollarized),Yes,"4,263,791 people","$14,730",33.9%,47.0%,0.82 million visitors,2.3%,3.3%,1.6%,4.3%,3.4%,59.9%,(1.0%),(12.8%),101.2,18.4,5.6%,0.53,No,..,2.3%,3.6%
 Bolivia ,South America,2009,Q2,Lower middle income,Mining & Extractives,Managed Float,No,"11,513,388 people","$3,610",33.2%,36.2%,0.33 million visitors,0.5%,3.6%,4.8%,4.7%,7.7%,40.1%,(2.2%),(2.7%),87.8,36.1,5.0%,-1.08,No,..,1.4%,2.0%
 Trinidad and Tobago ,Caribbean,2003,Q4,High income,Mining & Extractives,Floating,No,"1,369,444 people","$16,831",41.3%,48.4%,1.85 million visitors,0.5%,3.5%,5.8%,12.0%,6.9%,59.0%,(0.9%),(6.4%),95.7,34.9,4.3%,0.83,No,..,0.0%,0.1%
Jamaica,Caribbean,2023,Q4,Upper middle income,Tourism & Services,Floating,No,"2,852,921 people","$5,316",38.0%,49.2%,4.74 million visitors,6.7%,..,5.8%,11.0%,7.6%,97.6%,(2.0%),(10.9%),108.4,29.3,5.1%,-0.28,No,..,(1.2%),(1.6%)
Honduras,Central America,2004,Q4,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,539,099 people","$2,703",43.0%,58.5%,0.59 million visitors,2.5%,3.2%,6.0%,10.1%,6.2%,47.3%,(1.4%),(15.9%),97.5,25.7,4.6%,-0.72,Yes,1.1%,3.8%,2.0%
GUATEMALA,Central America,2022,Q3,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,390,551 people","$5,748",37.3%,34.1%,0.80 million visitors,1.9%,3.8%,4.0%,10.1%,3.8%,45.7%,(2.4%),5.5%,91.4,29.9,5.1%,-0.89,No,..,(0.0%),(0.2%)
Uruguay,South America,2011,Q3,High income,Agriculture & Agro-exports,Floating,No,"3,412,063 people","$17,176",39.5%,49.4%,0.90 million visitors,0.7%,5.9%,4.7%,6.9%,5.9%,70.0%,(2.8%),(9.1%),87.3,26.9,4.9%,0.96,No,..,(0.1%),1.8%
Ecuador,South America,2007,Q2,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,552,804 people","$6,428",34.3%,35.6%,1.51 million visitors,4.0%,4.4%,1.3%,3.8%,3.5%,59.4%,(3.3%),(0.2%),101.6,37.0,2.7%,0.15,No,..,3.0%,2.7%
COSTA RICA,Central America,2008,Q4,Upper middle income,Tourism & Services,Managed Float,No,"5,072,767 people","$11,617",38.3%,41.3%,3.25 million visitors,10.4%,2.4%,3.2%,10.6%,6.4%,50.0%,(2.3%),(0.2%),105.5,32.8,3.5%,0.23,No,..,0.4%,2.9%
 Paraguay ,South America,2007,Q2,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,856,319 people","$5,231",47.8%,51.1%,0.42 million visitors,1.4%,5.7%,5.6%,3.9%,6.4%,31.2%,(1.3%),(1.7%),106.9,29.2,3.9%,-0.43,No,..,2.7%,1.4%
DOMINICAN REPUBLIC,Caribbean,2009,Q4,Upper middle income,Tourism & Services,Managed Float,Yes,"10,804,743 people","$8,979",31.2%,42.5%,..,6.7%,0.6%,3.8%,8.7%,7.5%,46.1%,(1.5%),(9.6%),94.4,35.3,3.4%,-0.3,Yes,11.6%,0.4%,1.2%
 Costa Rica ,Central America,2020,Q3,Upper middle income,Tourism & Services,Managed Float,No,"5,014,764 people","$12,021",41.6%,44.9%,4.14 million visitors,9.9%,2.6%,7.5%,6.1%,10.1%,53.7%,(2.7%),(3.4%),87.6,32.1,4.8%,1.07,No,..,2.5%,2.5%
HONDURAS,Central America,2003,Q4,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,513,898 people","$2,359",39.8%,47.3%,0.38 million visitors,1.9%,4.8%,3.3%,7.2%,5.8%,45.6%,(1.6%),(8.2%),97.3,35.7,2.1%,-1.53,No,..,2.0%,0.5%
JAMAICA,Caribbean,2005,Q4,Upper middle income,Tourism & Services,Floating,Yes,"2,732,008 people","$6,022",36.5%,48.8%,2.64 million visitors,9.1%,4.0%,5.5%,7.3%,10.0%,95.9%,(3.7%),(12.4%),111.1,41.5,..,-1.11,No,..,2.6%,1.3%
GUATEMALA,Central America,2018,Q3,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,487,012 people","$5,444",34.3%,38.1%,1.49 million visitors,3.6%,3.6%,6.4%,11.5%,7.8%,47.2%,(5.9%),(4.0%),106.5,16.7,4.8%,-0.23,No,..,0.8%,1.9%
Costa Rica,Central America,2023,Q1,Upper middle income,Tourism & Services,Managed Float,No,"5,053,648 people","$12,536",28.6%,41.3%,3.61 million visitors,6.5%,4.9%,6.4%,4.3%,8.9%,54.1%,(3.1%),(12.3%),93.1,25.8,4.0%,1.39,No,..,6.2%,3.2%
Belize,Central America,2018,Q2,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"395,989 people","$5,249",38.7%,31.2%,2.06 million visitors,7.0%,5.2%,3.8%,8.9%,4.4%,90.2%,(2.6%),7.8%,66.0,7.1,3.8%,-0.04,No,..,1.2%,(0.1%)
ecuador,South America,2005,Q3,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,559,400 people","$6,027",34.6%,35.8%,1.01 million visitors,5.6%,5.1%,4.3%,2.8%,7.6%,59.1%,(1.3%),(2.5%),101.6,2.0,4.4%,-0.5,No,..,1.8%,2.3%
JAMAICA,Caribbean,2016,Q2,Upper middle income,Tourism & Services,Floating,No,"2,841,806 people","$4,976",29.6%,29.1%,2.77 million visitors,5.3%,5.7%,8.1%,7.1%,11.3%,99.3%,(5.2%),(1.0%),114.3,32.5,5.3%,-0.3,Yes,9.9%,(6.6%),(5.9%)
Jamaica,Caribbean,2006,Q2,Upper middle income,Tourism & Services,Floating,Yes,"2,894,582 people","$4,587",24.6%,20.6%,3.25 million visitors,5.1%,1.5%,5.7%,4.1%,8.4%,96.6%,(0.6%),3.2%,111.8,26.0,5.1%,-0.18,No,..,0.1%,0.8%
Ecuador,South America,2012,Q1,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,622,048 people","$6,471",37.0%,53.3%,0.47 million visitors,2.5%,4.1%,8.1%,6.5%,10.6%,67.3%,(0.8%),(16.3%),94.2,10.1,3.8%,0.0,No,..,(0.5%),0.5%
Guatemala,Central America,2003,Q3,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,526,533 people","$5,331",42.8%,50.7%,0.05 million visitors,0.5%,2.5%,5.6%,8.7%,8.3%,35.9%,(4.4%),(7.6%),101.5,52.8,4.3%,-0.32,No,..,2.8%,2.1%
el salvador,Central America,2015,Q3,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,301,602 people","$4,782",44.3%,55.0%,1.32 million visitors,4.4%,3.2%,6.8%,3.9%,8.6%,82.8%,(4.4%),(12.0%),93.8,14.0,4.1%,-0.53,No,..,(1.6%),0.4%
honduras,Central America,2012,Q1,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,502,951 people","$2,947",49.7%,40.0%,1.23 million visitors,2.2%,2.2%,9.8%,4.7%,12.2%,51.5%,(1.6%),12.4%,92.7,47.4,4.4%,-0.48,No,..,(0.5%),1.0%
GUYANA,South America,2022,Q3,High income,Mining & Extractives,Floating,No,"760,272 people","$14,615",36.2%,46.3%,0.05 million visitors,0.5%,(0.2%),6.5%,11.5%,9.3%,41.9%,(0.3%),(10.5%),105.5,36.9,3.0%,-0.46,No,..,11.1%,10.4%
