No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,PEG,P/S,P/B,Price,Volume,EPS (ttm),EPS growth next year,EPS growth next 5 years,Total Debt/Equity,Beta,Institutional Ownership,RSI,Gross Margin,Food Cost %,SSS %
389,FOZ,FOZ Co.,Restaurants,Pizza,Switzerland,2975779.71,78.01,1.23,1.42,1.33,91.30,"53,655",8.28,11.04%,10.48%,0.99,0.79,46.98%,53.90,29.66%,30.82%,4.75%
390,FPA,FPA Brands,Restaurants,Coffee Shops,Switzerland,775343.65,11.53,3.54,1.16,1.82,31.32,"8,790",1.35,10.23%,4.90%,2.20,0.90,79.30%,43.44,26.28%,47.02%,4.49%
391,FPB,FPB Foods Inc.,Restaurants,QSR Burgers,Switzerland,25175440.51,32.60,2.15,1.37,2.26,72.04,"4,382",3.95,26.04%,7.33%,0.73,0.37,21.59%,51.03,32.43%,25.34%,5.07%
392,FPC,FPC Foods Inc.,Restaurants,Fast Casual,Netherlands,6621371.92,26.30,2.50,0.69,1.66,21.09,"89,638",-0.77,9.17%,3.99%,0.69,1.19,39.84%,84.37,26.47%,13.13%,9.83%
393,FPD,FPD Co.,Restaurants,Casual Dining,Netherlands,33949967.18,12.32,1.62,1.32,5.00,31.12,"85,045",3.50,9.12%,12.63%,1.27,0.78,31.54%,48.57,21.76%,39.19%,-2.73%
394,FPE,FPE Foods Inc.,Restaurants,Pizza,Netherlands,13461624.85,17.86,,1.59,1.20,84.62,"7,357",0.23,3.27%,4.28%,0.42,1.29,56.55%,63.84,23.97%,21.40%,-1.23%
395,FPF,FPF Foods Inc.,Restaurants,Coffee Shops,Brazil,5422724.48,28.48,,1.18,1.87,47.78,"54,615",-3.94,2.75%,12.72%,2.21,1.09,50.36%,52.00,42.47%,25.54%,4.87%
396,FPG,FPG Foods Inc.,Restaurants,QSR Burgers,Brazil,17707061.95,27.76,1.61,3.00,0.97,64.73,"106,551",3.29,8.50%,15.44%,0.38,1.00,64.57%,62.88,23.20%,26.80%,8.47%
397,FPH,FPH Brands,Restaurants,Fast Casual,Brazil,18855033.67,,2.36,2.06,3.14,70.87,"433,356",-0.42,2.79%,12.54%,0.70,0.74,28.92%,48.29,29.27%,25.18%,15.47%
398,FPI,FPI Foods Inc.,Restaurants,Casual Dining,Japan,5424101.14,26.96,1.40,1.91,3.38,53.89,"585,216",-1.51,0.96%,29.66%,0.49,1.38,62.71%,26.50,40.45%,26.76%,-6.05%
399,FPJ,FPJ Brands,Restaurants,Pizza,Japan,6443897.93,31.13,3.19,0.47,2.81,110.76,"168,362",1.26,-7.48%,18.62%,0.27,0.76,35.10%,15.51,27.87%,26.68%,0.18%
400,FPK,FPK Brands,Restaurants,Coffee Shops,USA,2166463.61,21.84,2.16,2.49,3.57,58.12,"35,082",1.32,8.76%,-2.59%,0.26,1.69,37.31%,35.17,41.31%,41.64%,7.43%
401,FPL,FPL Brands,Restaurants,QSR Burgers,USA,57914212.30,19.97,,1.73,4.42,68.15,"9,445",1.16,5.39%,-2.59%,0.65,0.20,33.34%,61.02,27.55%,42.42%,-1.83%
402,FPM,FPM Foods Inc.,Restaurants,Fast Casual,USA,4793379.40,41.84,1.12,1.20,0.94,99.48,"83,162",0.04,20.46%,15.94%,0.68,0.72,67.11%,49.54,27.85%,44.02%,-1.87%
403,FPN,FPN Foods Inc.,Restaurants,Casual Dining,USA,16189199.22,13.46,,2.37,1.81,126.65,"21,565",4.09,-1.46%,0.16%,0.55,0.91,34.71%,78.45,26.38%,33.98%,-1.19%
404,FPO,FPO Foods Inc.,Restaurants,Pizza,USA,26423440.16,26.27,1.45,0.48,1.66,116.59,"304,102",1.33,-9.94%,-3.63%,1.36,0.23,23.78%,72.53,43.19%,13.38%,6.42%
405,FPP,FPP Foods Inc.,Restaurants,Coffee Shops,USA,865209.27,9.79,2.04,5.48,0.67,28.04,"62,413",4.43,13.05%,25.87%,0.58,0.60,50.73%,69.48,25.29%,29.33%,7.48%
406,FPQ,FPQ Brands,Restaurants,QSR Burgers,USA,31198443.99,45.56,2.02,1.65,2.52,112.20,"1,458",0.76,11.95%,5.31%,0.34,0.38,68.12%,61.73,30.38%,29.62%,12.27%
407,FPR,FPR Foods Inc.,Restaurants,Fast Casual,USA,9591427.00,13.15,1.43,0.89,3.11,38.62,"187,856",5.44,-18.44%,9.14%,0.32,1.03,21.90%,45.65,35.34%,33.91%,0.10%
408,FPS,FPS Co.,Restaurants,Casual Dining,USA,10172226.80,39.48,2.01,1.63,2.12,26.18,"32,858",-1.31,7.34%,12.60%,0.35,0.87,40.81%,63.59,42.71%,29.48%,2.86%
409,FPT,FPT Brands,Restaurants,Pizza,USA,1281654.82,26.62,4.89,2.67,1.34,24.08,"6,961,963",3.11,8.40%,2.44%,0.54,1.07,29.10%,48.35,36.38%,15.98%,-1.44%
410,FPU,FPU Co.,Restaurants,Coffee Shops,USA,19102843.85,28.06,1.06,2.32,0.78,151.66,"27,092",3.86,4.69%,9.12%,1.31,1.31,10.89%,61.14,36.29%,30.23%,-2.65%
411,FPV,FPV Foods Inc.,Restaurants,QSR Burgers,USA,2301033.37,24.49,4.18,1.38,1.95,56.72,"9,267",2.25,-6.08%,19.54%,0.40,0.71,52.55%,48.98,27.99%,29.86%,-2.88%
412,FPW,FPW Co.,Restaurants,Fast Casual,USA,12317016.99,22.65,4.19,1.91,4.10,51.23,"182,078",5.01,5.70%,21.47%,0.34,0.97,47.49%,49.31,32.96%,32.11%,5.81%
413,FPX,FPX Foods Inc.,Restaurants,Casual Dining,USA,40521517.55,15.20,1.22,0.62,3.43,103.31,"45,589",6.19,10.08%,6.49%,0.88,0.69,69.83%,45.39,25.81%,36.14%,-7.16%
414,FPY,FPY Brands,Restaurants,Pizza,USA,11797618.70,18.76,,1.48,3.17,98.24,"73,055",3.22,-11.50%,3.61%,0.52,0.66,14.33%,51.25,29.37%,25.74%,7.96%
415,FPZ,FPZ Foods Inc.,Restaurants,Coffee Shops,USA,4737173.18,21.76,3.49,2.32,2.09,154.94,"83,590",-0.29,32.87%,2.85%,0.40,0.42,27.48%,51.79,29.63%,19.65%,4.46%
416,FQA,FQA Brands,Restaurants,QSR Burgers,USA,222895.93,22.09,0.84,0.67,4.52,12.48,"325,457",-1.97,11.94%,14.56%,0.29,0.46,46.02%,76.64,30.86%,22.75%,-3.18%
417,FQB,FQB Brands,Restaurants,Fast Casual,USA,6141144.66,36.90,1.05,3.59,3.85,86.44,"6,930",4.62,24.49%,3.48%,0.59,1.27,35.38%,43.32,38.08%,27.06%,4.06%
418,FQC,FQC Co.,Restaurants,Casual Dining,USA,2710769.68,20.74,0.64,0.86,2.97,60.19,"43,953",3.44,4.17%,9.70%,0.58,0.83,21.76%,44.55,35.57%,21.40%,16.60%
419,FQD,FQD Foods Inc.,Restaurants,Pizza,USA,24184445.58,17.20,4.67,0.81,2.74,91.88,"9,954",3.92,-1.57%,-6.96%,5.17,0.81,21.03%,82.28,18.03%,24.06%,2.05%
420,FQE,FQE Foods Inc.,Restaurants,Coffee Shops,USA,3564651.35,12.74,1.66,2.72,0.98,27.31,"72,128",2.05,-15.95%,5.53%,0.30,0.58,61.17%,64.74,49.47%,27.20%,4.09%
421,FQF,FQF Co.,Restaurants,QSR Burgers,USA,2461585.43,29.87,2.76,2.53,3.79,43.07,"135,173",2.97,-3.42%,14.75%,1.40,1.45,27.08%,50.73,30.85%,29.03%,6.66%
422,FQG,FQG Foods Inc.,Restaurants,Fast Casual,USA,16625184.14,23.49,4.87,2.41,2.13,42.97,"713,399",0.49,-16.70%,-12.97%,0.28,0.99,30.31%,73.48,42.06%,23.41%,3.59%
423,FQH,FQH Brands,Restaurants,Casual Dining,USA,10408281.08,28.08,0.70,0.31,2.08,82.22,"71,325",3.90,15.16%,23.25%,0.55,0.80,40.79%,42.42,43.92%,24.48%,1.24%
424,FQI,FQI Brands,Restaurants,Pizza,USA,6595678.95,12.32,1.64,2.41,1.00,44.25,"38,440",1.45,19.13%,34.00%,0.35,0.90,44.21%,37.15,35.93%,25.08%,6.67%
425,FQJ,FQJ Foods Inc.,Restaurants,Coffee Shops,USA,8658453.59,17.58,1.23,2.94,3.81,103.30,"443,737",5.47,0.04%,18.72%,0.47,0.67,25.05%,47.19,23.62%,22.05%,-3.77%
426,FQK,FQK Foods Inc.,Restaurants,QSR Burgers,USA,142924.90,44.53,1.03,2.61,2.41,13.96,"56,761",4.13,-20.26%,10.09%,0.14,0.89,74.49%,39.95,23.57%,51.46%,8.12%
427,FQL,FQL Co.,Restaurants,Fast Casual,USA,926177.66,12.79,2.83,1.12,4.03,30.38,"8,409",4.37,37.26%,13.66%,1.56,1.77,55.96%,69.38,35.81%,41.65%,5.57%
428,FQM,FQM Foods Inc.,Restaurants,Casual Dining,USA,3824241.47,16.88,1.08,3.12,,73.79,"87,151",4.24,4.22%,4.93%,0.45,0.21,28.09%,62.52,32.80%,19.53%,-3.02%
429,FQN,FQN Foods Inc.,Restaurants,Pizza,USA,763845.04,55.98,0.70,2.43,2.03,24.81,"235,963",1.13,7.55%,2.87%,0.89,1.05,29.02%,56.16,23.25%,21.04%,-1.81%
430,FQO,FQO Brands,Restaurants,Coffee Shops,USA,6640233.79,38.08,1.61,1.22,6.38,43.32,"99,499",5.14,-3.39%,26.82%,1.17,1.05,50.65%,53.07,27.95%,39.69%,0.16%
431,FQP,FQP Brands,Grocery Retail,Supermarkets,USA,28420393.16,25.67,0.62,0.92,2.24,111.52,"79,662",7.99,-7.97%,5.76%,0.43,1.01,64.91%,63.85,14.03%,54.82%,
432,FQQ,FQQ Brands,Grocery Retail,Club & Warehouse,USA,8111537.69,29.11,1.79,1.58,3.21,37.36,"126,071",6.01,-3.55%,17.28%,0.43,0.28,58.38%,44.09,12.65%,49.44%,
433,FQR,FQR Foods Inc.,Grocery Retail,Convenience,USA,7852971.60,10.76,2.02,1.27,3.04,39.44,"142,318",6.61,7.25%,16.82%,0.69,0.46,38.70%,55.84,45.28%,32.42%,
434,FQS,FQS Foods Inc.,Grocery Retail,Natural / Organic Retail,USA,12961722.95,9.50,1.49,,3.01,73.77,"497,647",1.20,9.08%,8.01%,0.10,1.62,66.46%,51.72,28.30%,30.53%,
435,FQT,FQT Brands,Grocery Retail,Supermarkets,USA,9132071.54,25.28,,2.47,2.79,37.52,"17,082",0.12,19.34%,3.73%,0.73,0.47,57.12%,46.64,44.63%,56.30%,
436,FQU,FQU Brands,Grocery Retail,Club & Warehouse,USA,29955067.17,21.03,1.30,1.67,1.77,121.48,"87,205",5.20,44.01%,-4.37%,0.85,0.20,37.94%,35.00,21.31%,48.38%,
437,FQV,FQV Brands,Grocery Retail,Convenience,USA,2228016.95,14.11,1.60,2.97,0.48,30.45,"8,460",1.02,23.71%,2.75%,0.47,0.54,12.91%,58.93,14.76%,46.23%,
438,FQW,FQW Brands,Grocery Retail,Natural / Organic Retail,USA,4793893.12,10.89,0.80,1.61,3.29,72.05,"973,501",0.58,1.28%,11.90%,1.25,0.76,19.20%,52.56,20.98%,52.10%,
439,FQX,FQX Foods Inc.,Grocery Retail,Supermarkets,USA,355798.23,15.57,1.56,2.02,3.04,21.46,"424,303",-1.37,-13.30%,19.21%,0.71,0.76,33.09%,62.05,15.14%,45.36%,
440,FQY,FQY Foods Inc.,Grocery Retail,Club & Warehouse,USA,3136728.64,24.91,2.44,0.59,0.70,38.80,"89,109",1.35,11.83%,-8.24%,0.76,0.99,31.36%,34.15,12.86%,42.93%,
441,FQZ,FQZ Foods Inc.,Grocery Retail,Convenience,USA,1136385.83,11.42,1.21,2.48,4.40,11.17,"1,631",3.64,9.47%,25.35%,0.36,0.77,47.14%,37.13,23.06%,36.98%,
442,FRA,FRA Foods Inc.,Grocery Retail,Natural / Organic Retail,USA,3175989.13,8.03,1.42,3.41,8.05,30.84,"40,509",-0.17,-2.80%,18.68%,0.40,0.93,19.58%,43.81,31.02%,46.67%,
443,FRB,FRB Brands,Grocery Retail,Supermarkets,USA,303660.48,29.89,,2.26,1.41,15.29,"6,759",2.46,15.18%,-6.10%,0.24,1.07,40.34%,46.62,22.35%,43.71%,
444,FRC,FRC Brands,Grocery Retail,Club & Warehouse,USA,18272248.81,11.71,2.88,1.00,3.83,28.15,"50,087",-1.30,10.13%,7.64%,0.67,0.80,65.98%,41.18,28.70%,55.62%,
445,FRD,FRD Foods Inc.,Grocery Retail,Convenience,USA,483415.38,24.82,2.25,3.45,1.70,7.07,"9,869",2.38,0.40%,14.05%,0.47,0.20,44.60%,50.57,25.12%,51.44%,
446,FRE,FRE Foods Inc.,Grocery Retail,Natural / Organic Retail,USA,3247554.57,10.25,0.95,3.18,0.78,21.66,"13,584",4.71,6.16%,14.80%,0.49,0.20,43.73%,56.09,17.72%,54.22%,
447,FRF,FRF Brands,Grocery Retail,Supermarkets,USA,9525863.50,53.38,1.18,1.32,1.93,25.76,"754,393",-1.61,4.13%,11.08%,0.57,0.83,32.84%,70.93,16.13%,28.48%,
448,FRG,FRG Foods Inc.,Grocery Retail,Club & Warehouse,USA,783774.11,28.97,0.71,0.91,1.56,46.10,"63,850",5.63,21.31%,3.91%,0.71,0.69,76.14%,43.14,28.77%,40.22%,
449,FRH,FRH Brands,Grocery Retail,Convenience,USA,3822803.20,19.37,1.51,,0.66,99.89,"436,131",2.99,6.14%,-1.26%,0.28,0.24,74.70%,38.48,20.47%,30.82%,
450,FRI,FRI Foods Inc.,Grocery Retail,Natural / Organic Retail,USA,17979123.52,48.97,1.32,3.53,1.02,58.61,"23,948",3.52,10.03%,5.82%,0.64,1.32,39.45%,45.22,18.02%,46.47%,
451,FRJ,FRJ Foods Inc.,Grocery Retail,Supermarkets,USA,4442650.42,61.11,,2.76,,98.14,"678,870",5.76,-7.09%,12.46%,2.07,1.86,64.18%,63.46,25.65%,34.55%,
452,FRK,FRK Co.,Grocery Retail,Club & Warehouse,USA,35508930.90,33.77,1.43,1.16,1.12,50.78,"11,971",6.51,-17.14%,36.01%,0.66,0.51,63.30%,63.39,22.19%,51.42%,
453,FRL,FRL Brands,Grocery Retail,Convenience,USA,1800319.47,26.64,1.15,0.79,5.09,84.27,"28,764",-0.40,12.46%,18.65%,0.32,0.82,42.29%,43.54,31.55%,43.54%,
454,FRM,FRM Brands,Grocery Retail,Natural / Organic Retail,USA,5006196.17,36.35,2.20,0.54,2.73,97.16,"535,405",4.79,-2.93%,2.32%,0.66,0.72,47.42%,41.73,19.11%,51.94%,
455,FRN,FRN Co.,Grocery Retail,Supermarkets,USA,10379126.24,,,3.93,3.99,47.52,"166,662",2.41,14.25%,17.98%,0.76,1.07,26.87%,35.88,26.31%,60.32%,
456,FRO,FRO Foods Inc.,Grocery Retail,Club & Warehouse,USA,1731044.91,11.35,1.57,,3.08,11.73,"13,798",-0.12,7.01%,11.56%,1.04,0.84,56.78%,61.54,20.67%,40.10%,
457,FRP,FRP Foods Inc.,Grocery Retail,Convenience,USA,901701.02,17.14,,1.19,1.48,6.43,"20,213",1.96,19.23%,-1.80%,0.90,0.55,64.67%,40.74,22.90%,52.75%,
458,FRQ,FRQ Brands,Grocery Retail,Natural / Organic Retail,USA,5342095.23,13.89,2.70,2.39,0.30,58.95,"6,098",4.61,11.12%,-10.88%,0.38,0.40,25.55%,64.54,22.60%,42.30%,
459,FRR,FRR Brands,Grocery Retail,Supermarkets,USA,1390975.44,10.59,1.87,1.40,11.67,47.38,"159,001",0.20,-4.74%,2.29%,0.40,0.86,75.67%,66.57,25.22%,27.94%,
460,FRS,FRS Foods Inc.,Grocery Retail,Club & Warehouse,USA,5988066.10,32.81,3.51,5.57,2.15,60.27,"35,922",-0.69,-0.73%,4.89%,2.94,1.06,49.59%,51.05,23.43%,51.34%,
461,FRT,FRT Co.,Grocery Retail,Convenience,USA,1652666.68,21.28,3.08,1.05,2.49,53.60,"34,399",-2.97,-5.61%,21.98%,1.47,0.82,35.69%,32.03,15.70%,48.62%,
462,FRU,FRU Foods Inc.,Grocery Retail,Natural / Organic Retail,USA,391410.97,41.95,,6.04,4.48,13.92,"29,405",2.51,10.21%,11.40%,0.24,1.58,77.23%,49.37,26.14%,49.98%,
463,FRV,FRV Foods Inc.,Grocery Retail,Supermarkets,USA,10352630.51,20.35,1.29,1.08,1.85,47.99,"47,285",3.45,10.29%,3.11%,0.22,0.54,6.40%,55.90,35.36%,42.87%,
464,FRW,FRW Foods Inc.,Grocery Retail,Club & Warehouse,USA,25673902.40,13.86,0.94,2.26,3.64,37.44,"37,512",-1.08,34.78%,-2.64%,0.67,0.78,41.08%,84.03,34.03%,24.69%,
465,FRX,FRX Brands,Grocery Retail,Convenience,USA,495282.58,19.94,2.03,2.54,1.98,11.14,"32,298",-0.16,7.44%,1.12%,0.30,0.56,47.88%,30.16,24.79%,35.74%,
466,FRY,FRY Co.,Grocery Retail,Natural / Organic Retail,USA,502039.72,20.37,4.75,1.73,3.90,14.44,"10,356",2.52,3.31%,15.32%,0.12,0.80,26.74%,36.88,33.38%,47.46%,
467,FRZ,FRZ Co.,Grocery Retail,Supermarkets,USA,39828164.74,7.97,1.67,2.69,1.05,94.94,"19,635",0.82,2.61%,13.53%,0.44,1.10,13.15%,49.60,23.69%,32.76%,
468,FSA,FSA Co.,Grocery Retail,Club & Warehouse,USA,3129402.08,,1.01,1.39,1.17,19.64,"3,462,608",1.11,-3.31%,16.02%,0.27,0.20,85.13%,16.21,26.89%,45.72%,
469,FSB,FSB Co.,Grocery Retail,Convenience,USA,25024742.29,16.29,0.68,2.23,3.30,52.26,"69,243",0.93,-4.46%,-2.24%,0.31,1.14,71.38%,37.81,25.25%,40.99%,
470,FSC,FSC Co.,Grocery Retail,Natural / Organic Retail,USA,1142632.65,25.70,1.05,0.78,2.97,39.01,"53,114",-1.34,22.17%,6.91%,0.36,1.01,33.39%,50.89,4.00%,50.38%,
471,FSD,FSD Co.,Grocery Retail,Supermarkets,USA,15288914.68,20.88,3.06,0.94,3.14,64.81,"11,974",-0.07,-12.23%,20.98%,0.13,1.47,80.95%,50.67,31.49%,43.36%,
472,FSE,FSE Brands,Grocery Retail,Club & Warehouse,Canada,11644152.22,27.06,,2.18,1.13,18.60,"30,828",1.38,11.00%,-1.19%,0.71,0.93,57.96%,57.14,28.84%,47.00%,
473,FSF,FSF Foods Inc.,Grocery Retail,Convenience,Canada,2871780.59,44.57,,0.81,3.02,16.89,"366,979",5.10,16.50%,29.81%,0.48,1.30,25.49%,58.08,4.00%,32.61%,
474,FSG,FSG Brands,Grocery Retail,Natural / Organic Retail,Canada,7767085.75,27.07,,0.88,8.35,99.84,"59,215",-0.74,19.09%,-6.73%,1.26,0.54,46.30%,31.26,5.47%,51.34%,
475,FSH,FSH Co.,Grocery Retail,Supermarkets,Canada,2773375.35,27.03,2.63,0.89,1.79,34.41,"58,921",0.00,-9.47%,23.24%,0.50,1.43,10.30%,47.50,20.18%,28.70%,
476,FSI,FSI Foods Inc.,Grocery Retail,Club & Warehouse,Canada,2385818.98,43.42,4.88,4.44,1.40,28.34,"37,289",4.21,32.83%,19.23%,0.38,1.36,67.65%,50.67,14.42%,36.40%,
477,FSJ,FSJ Co.,Grocery Retail,Convenience,Canada,6871271.37,27.11,3.21,1.50,2.88,59.67,"26,654",2.55,6.19%,1.07%,0.91,1.39,46.54%,50.49,22.09%,31.66%,
478,FSK,FSK Brands,Grocery Retail,Natural / Organic Retail,Canada,4556216.42,16.75,1.75,1.22,,61.86,"1,208,229",-3.19,-9.70%,2.02%,0.90,1.41,47.29%,49.82,17.98%,44.66%,
479,FSL,FSL Co.,Grocery Retail,Supermarkets,Mexico,1401885.84,12.33,2.75,1.19,0.90,35.81,"13,645",-1.38,6.54%,4.52%,0.10,0.72,73.99%,60.23,15.33%,24.83%,
480,FSM,FSM Brands,Grocery Retail,Club & Warehouse,Mexico,9984156.74,25.27,0.91,0.85,3.30,65.39,"62,724",1.04,6.50%,1.53%,0.81,0.20,67.29%,39.99,22.94%,32.88%,
481,FSN,FSN Foods Inc.,Grocery Retail,Convenience,Mexico,13093231.86,31.05,,1.11,4.77,74.09,"197,587",1.31,6.44%,-1.60%,0.91,0.96,41.73%,48.34,26.24%,50.36%,
482,FSO,FSO Brands,Grocery Retail,Natural / Organic Retail,Mexico,4577655.98,11.08,0.72,1.29,0.49,37.82,"711,957",7.57,4.81%,20.13%,0.76,1.27,57.48%,47.78,21.54%,42.80%,
483,FSP,FSP Foods Inc.,Grocery Retail,Supermarkets,Mexico,3786596.91,29.03,1.77,0.62,1.57,22.49,"13,226",-4.91,7.36%,11.96%,0.89,0.69,21.08%,44.97,17.10%,33.49%,
484,FSQ,FSQ Foods Inc.,Grocery Retail,Club & Warehouse,UK,341775.58,46.55,3.44,2.45,1.30,32.13,"110,731",5.10,15.79%,4.74%,0.49,0.99,25.68%,37.34,33.03%,33.32%,
485,FSR,FSR Brands,Grocery Retail,Convenience,UK,14342664.67,11.43,,0.64,3.34,25.02,"59,890",4.16,28.43%,6.37%,2.93,0.56,33.71%,69.65,25.69%,38.41%,
486,FSS,FSS Brands,Grocery Retail,Natural / Organic Retail,UK,1121517.63,6.01,3.03,0.88,1.33,35.81,"26,072",7.69,2.50%,9.15%,0.56,0.67,45.54%,70.15,18.30%,43.98%,
487,FST,FST Brands,Grocery Retail,Supermarkets,UK,2729927.98,32.21,2.00,1.56,2.24,52.98,"30,384",-0.74,22.09%,17.90%,0.61,1.19,67.51%,43.55,13.27%,52.82%,
488,FSU,FSU Foods Inc.,Grocery Retail,Club & Warehouse,UK,6778630.31,18.76,1.11,1.05,3.12,29.46,"25,980",4.19,6.10%,-8.80%,0.75,1.06,49.47%,49.20,23.26%,42.05%,
489,FSV,FSV Brands,Grocery Retail,Convenience,Switzerland,2395554.28,14.32,1.99,0.57,1.64,35.49,"43,545",5.89,8.67%,11.75%,0.77,0.20,36.64%,43.35,29.21%,13.42%,
490,FSW,FSW Co.,Grocery Retail,Natural / Organic Retail,Switzerland,13202942.09,19.77,3.27,1.71,,46.24,"155,475",4.92,-7.15%,0.21%,0.84,0.96,6.34%,36.39,9.16%,32.32%,
491,FSX,FSX Foods Inc.,Grocery Retail,Supermarkets,Switzerland,6797225.95,25.01,0.51,1.41,1.27,27.73,"12,938",1.32,33.13%,21.43%,0.17,1.04,48.92%,32.35,22.95%,40.28%,
492,FSY,FSY Brands,Grocery Retail,Club & Warehouse,Netherlands,7612188.44,30.42,,3.58,1.86,24.29,"20,324",-1.75,-9.80%,12.51%,0.99,0.85,74.98%,67.03,16.81%,33.56%,
493,FSZ,FSZ Co.,Grocery Retail,Convenience,Netherlands,19289226.25,10.52,,0.92,3.39,34.54,"6,278",2.52,6.68%,-9.26%,1.45,0.70,63.47%,72.18,20.64%,35.97%,
494,FTA,FTA Brands,Grocery Retail,Natural / Organic Retail,Netherlands,75767257.84,3.36,2.00,1.85,1.80,223.80,"134,737",4.14,2.49%,4.52%,0.23,0.50,31.65%,43.17,18.83%,50.65%,
495,FTB,FTB Foods Inc.,Grocery Retail,Supermarkets,Brazil,3136610.58,13.66,1.81,1.89,7.45,71.64,"19,635",0.00,2.51%,2.77%,0.97,0.41,30.78%,37.59,30.40%,20.34%,
496,FTC,FTC Co.,Grocery Retail,Club & Warehouse,Brazil,1848479.31,23.33,1.36,1.09,0.81,39.89,"8,115",0.27,2.02%,9.83%,0.52,0.74,40.80%,44.29,17.99%,38.67%,
497,FTD,FTD Foods Inc.,Grocery Retail,Convenience,Brazil,1154429.21,20.90,2.36,1.92,6.00,25.96,"61,432",4.13,0.55%,15.34%,0.65,1.22,56.23%,64.93,26.88%,28.68%,
498,FTE,FTE Brands,Grocery Retail,Natural / Organic Retail,Japan,26226159.42,,,1.41,1.89,172.39,"63,085",1.06,20.76%,13.61%,1.53,1.41,29.75%,40.63,28.21%,46.71%,
499,FTF,FTF Co.,Grocery Retail,Supermarkets,Japan,10018506.04,14.00,3.15,0.94,,34.96,"320,310",3.94,21.05%,16.05%,1.38,0.67,50.42%,77.99,27.87%,21.90%,
500,FTG,FTG Foods Inc.,Grocery Retail,Club & Warehouse,USA,346494.42,28.06,1.26,1.38,2.04,11.07,"239,462",1.91,-6.18%,-21.46%,0.34,0.93,31.49%,49.87,23.27%,41.88%,
501,FTH,FTH Co.,Grocery Retail,Convenience,USA,35045796.61,22.98,2.74,1.59,3.29,51.95,"39,556",1.80,1.20%,5.20%,1.41,0.92,67.74%,40.34,19.84%,48.07%,
502,FTI,FTI Co.,Grocery Retail,Natural / Organic Retail,USA,17476869.66,12.61,2.65,2.88,1.41,51.89,"27,544",2.75,-1.04%,18.74%,0.33,1.12,15.93%,60.79,17.15%,51.16%,
503,FTJ,FTJ Brands,Grocery Retail,Supermarkets,USA,4830880.18,22.69,3.01,1.00,2.58,106.59,"6,496",-0.75,-1.58%,4.85%,0.40,1.54,74.05%,40.92,31.90%,53.12%,
504,FTK,FTK Co.,Grocery Retail,Club & Warehouse,USA,1413774.73,14.29,,1.46,0.82,34.48,"8,850",3.76,10.22%,11.70%,0.58,1.40,34.75%,57.50,35.51%,39.57%,
505,FTL,FTL Foods Inc.,Grocery Retail,Convenience,USA,2764689.12,26.06,1.05,0.71,5.44,51.21,"167,468",-0.68,5.24%,-1.90%,0.48,0.77,27.72%,42.24,30.11%,45.41%,
506,FTM,FTM Brands,Grocery Retail,Natural / Organic Retail,USA,8590840.76,14.81,1.72,1.74,1.44,33.95,"94,315",3.47,-16.94%,9.22%,0.61,0.98,71.61%,60.11,13.07%,44.27%,
507,FTN,FTN Foods Inc.,Grocery Retail,Supermarkets,USA,2412542.19,14.36,1.27,2.30,1.87,23.67,"4,012",3.43,13.01%,-6.81%,1.15,1.60,29.06%,72.20,24.14%,34.06%,
508,FTO,FTO Foods Inc.,Grocery Retail,Club & Warehouse,USA,4617756.69,18.54,1.09,4.39,1.97,15.12,"39,817",-0.79,16.37%,33.39%,0.21,0.67,25.94%,79.69,10.54%,23.85%,
509,FTP,FTP Co.,Grocery Retail,Convenience,USA,581901.13,34.26,2.91,1.56,,24.23,"27,944",0.84,9.10%,1.53%,0.59,1.01,62.69%,52.36,28.52%,28.90%,
510,FTQ,FTQ Foods Inc.,Grocery Retail,Natural / Organic Retail,USA,4313481.57,,2.67,1.23,2.16,51.24,"72,903",-0.85,13.39%,8.79%,0.53,1.72,36.77%,51.37,26.73%,30.87%,
511,FTR,FTR Co.,Grocery Retail,Supermarkets,USA,2322531.79,18.64,2.44,1.32,6.13,29.45,"1,482,059",4.23,3.91%,2.28%,1.01,1.04,30.65%,40.62,20.95%,25.01%,
512,FTS,FTS Foods Inc.,Grocery Retail,Club & Warehouse,USA,9956917.49,35.41,2.60,1.78,1.44,88.93,"56,022",0.08,12.61%,16.63%,2.27,0.44,50.88%,61.59,29.16%,40.46%,
513,FTT,FTT Foods Inc.,Grocery Retail,Convenience,USA,1381293.17,22.87,0.79,,2.65,8.51,"112,610",0.51,-3.10%,4.23%,1.51,1.30,45.27%,44.10,22.89%,26.28%,
514,FTU,FTU Foods Inc.,Grocery Retail,Natural / Organic Retail,USA,33482252.92,19.06,1.16,0.35,8.20,65.27,"9,597",-0.64,1.90%,7.79%,0.98,0.28,7.96%,44.16,23.96%,35.88%,
515,FTV,FTV Foods Inc.,Grocery Retail,Supermarkets,USA,1080707.31,5.78,1.62,1.04,1.13,11.56,"121,503",3.13,7.40%,22.32%,0.62,1.35,52.92%,38.26,27.94%,44.75%,
516,FTW,FTW Foods Inc.,Grocery Retail,Club & Warehouse,USA,30651986.38,13.23,1.12,5.98,1.96,102.20,"3,651",6.02,-3.93%,3.21%,0.30,0.55,24.11%,69.50,18.30%,43.18%,
